=== TBS ===
Tatal ap jobs: 127
clock 547: T1, server deadline:611
clock 548: T1, server deadline:611
clock 549: T1, server deadline:611
clock 550: T1, server deadline:611
clock 551: T1, server deadline:611
clock 552: T1, server deadline:611
clock 553: T1, server deadline:611
clock 554: T1, server deadline:611
clock 555: T3, server deadline:611
clock 556: T1, server deadline:611
clock 557: T1, server deadline:611
clock 558: T1, server deadline:611
clock 559: T1, server deadline:611
clock 560: T1, server deadline:611
clock 561: T1, server deadline:611
clock 562: T1, server deadline:611
clock 563: T1, server deadline:611
clock 564: T1, server deadline:611
clock 565: T1, server deadline:611
clock 566: TA24, server deadline:611
clock 567: TA24, server deadline:611
clock 568: TA24, server deadline:611
clock 569: TA24, server deadline:611
clock 570: T3, server deadline:611
clock 571: TA24, server deadline:611
clock 572: TA24, server deadline:611
TA24 finishs: 208 ~ 573
Current total_response_time: 2809
For TA25, New deadline: 611 + 50 = 661
clock 573: TA25, server deadline:661
clock 574: TA25, server deadline:661
clock 575: TA25, server deadline:661
clock 576: T6, server deadline:661
clock 577: T6, server deadline:661
clock 578: T6, server deadline:661
clock 579: T6, server deadline:661
clock 580: TA25, server deadline:661
clock 581: TA25, server deadline:661
clock 582: TA25, server deadline:661
clock 583: TA25, server deadline:661
clock 584: TA25, server deadline:661
clock 585: T3, server deadline:661
clock 586: TA25, server deadline:661
clock 587: TA25, server deadline:661
TA25 finishs: 208 ~ 588
Current total_response_time: 3189
For TA26, New deadline: 661 + 30 = 691
clock 588: T7, server deadline:691
clock 589: T7, server deadline:691
clock 590: T7, server deadline:691
clock 591: T7, server deadline:691
clock 592: T2, server deadline:691
clock 593: T2, server deadline:691
clock 594: T2, server deadline:691
clock 595: T2, server deadline:691
clock 596: T2, server deadline:691
clock 597: T2, server deadline:691
clock 598: T2, server deadline:691
clock 599: TA26, server deadline:691
clock 600: T3, server deadline:691
clock 601: TA26, server deadline:691
clock 602: TA26, server deadline:691
clock 603: TA26, server deadline:691
clock 604: TA26, server deadline:691
clock 605: TA26, server deadline:691
TA26 finishs: 208 ~ 606
Current total_response_time: 3587
For TA27, New deadline: 691 + 50 = 741
clock 606: T9, server deadline:741
clock 607: T9, server deadline:741
clock 608: T9, server deadline:741
clock 609: T9, server deadline:741
clock 610: T9, server deadline:741
clock 611: T9, server deadline:741
clock 612: T9, server deadline:741
clock 613: T9, server deadline:741
clock 614: T9, server deadline:741
clock 615: T3, server deadline:741
clock 616: T9, server deadline:741
clock 617: T5, server deadline:741
clock 618: T5, server deadline:741
clock 619: T5, server deadline:741
clock 620: T5, server deadline:741
clock 621: T5, server deadline:741
clock 622: T10, server deadline:741
clock 623: T10, server deadline:741
clock 624: T6, server deadline:741
clock 625: T6, server deadline:741
clock 626: T6, server deadline:741
clock 627: T6, server deadline:741
clock 628: T10, server deadline:741
clock 629: T10, server deadline:741
clock 630: T3, server deadline:741
clock 631: T10, server deadline:741
clock 632: T10, server deadline:741
clock 633: T10, server deadline:741
clock 634: T10, server deadline:741
clock 635: T10, server deadline:741
clock 636: T10, server deadline:741
clock 637: T10, server deadline:741
clock 638: T10, server deadline:741
clock 639: T10, server deadline:741
clock 640: T10, server deadline:741
clock 641: T10, server deadline:741
clock 642: T10, server deadline:741
clock 643: T10, server deadline:741
clock 644: T10, server deadline:741
clock 645: T3, server deadline:741
clock 646: T10, server deadline:741
clock 647: T10, server deadline:741
clock 648: T10, server deadline:741
clock 649: T10, server deadline:741
clock 650: T10, server deadline:741
clock 651: T10, server deadline:741
clock 652: T10, server deadline:741
clock 653: T10, server deadline:741
clock 654: T10, server deadline:741
clock 655: T10, server deadline:741
clock 656: T10, server deadline:741
clock 657: T10, server deadline:741
clock 658: TA27, server deadline:741
clock 659: TA27, server deadline:741
clock 660: T3, server deadline:741
clock 661: TA27, server deadline:741
clock 662: TA27, server deadline:741
clock 663: TA27, server deadline:741
clock 664: TA27, server deadline:741
clock 665: TA27, server deadline:741
clock 666: T2, server deadline:741
clock 667: T2, server deadline:741
clock 668: T2, server deadline:741
clock 669: T2, server deadline:741
clock 670: T2, server deadline:741
clock 671: T2, server deadline:741
clock 672: T6, server deadline:741
clock 673: T6, server deadline:741
clock 674: T6, server deadline:741
clock 675: T3, server deadline:741
clock 676: T6, server deadline:741
clock 677: T2, server deadline:741
clock 678: TA27, server deadline:741
clock 679: TA27, server deadline:741
clock 680: TA27, server deadline:741
TA27 finishs: 208 ~ 681
Current total_response_time: 4060
For TA28, New deadline: 741 + 30 = 771
clock 681: T7, server deadline:771
clock 682: T7, server deadline:771
clock 683: T7, server deadline:771
clock 684: T7, server deadline:771
clock 685: TA28, server deadline:771
clock 686: TA28, server deadline:771
clock 687: TA28, server deadline:771
clock 688: TA28, server deadline:771
clock 689: TA28, server deadline:771
clock 690: T3, server deadline:771
clock 691: TA28, server deadline:771
TA28 finishs: 208 ~ 692
Current total_response_time: 4544
For TA29, New deadline: 771 + 50 = 821
clock 692: T8, server deadline:821
clock 693: T8, server deadline:821
clock 694: T8, server deadline:821
clock 695: T8, server deadline:821
clock 696: T8, server deadline:821
clock 697: T8, server deadline:821
clock 698: T8, server deadline:821
clock 699: T8, server deadline:821
clock 700: T8, server deadline:821
clock 701: T8, server deadline:821
clock 702: T8, server deadline:821
clock 703: T8, server deadline:821
clock 704: T8, server deadline:821
clock 705: T3, server deadline:821
clock 706: T8, server deadline:821
clock 707: T8, server deadline:821
clock 708: T8, server deadline:821
clock 709: T8, server deadline:821
clock 710: T8, server deadline:821
clock 711: T8, server deadline:821
clock 712: T8, server deadline:821
clock 713: T8, server deadline:821
clock 714: T8, server deadline:821
clock 715: T8, server deadline:821
clock 716: T8, server deadline:821
clock 717: TA29, server deadline:821
clock 718: TA29, server deadline:821
clock 719: TA29, server deadline:821
clock 720: T3, server deadline:821
clock 721: T6, server deadline:821
clock 722: T6, server deadline:821
clock 723: T6, server deadline:821
clock 724: T6, server deadline:821
clock 725: TA29, server deadline:821
clock 726: TA29, server deadline:821
clock 727: TA29, server deadline:821
clock 728: TA29, server deadline:821
clock 729: TA29, server deadline:821
clock 730: TA29, server deadline:821
clock 731: TA29, server deadline:821
TA29 finishs: 208 ~ 732
Current total_response_time: 5068
For TA30, New deadline: 821 + 30 = 851
clock 732: TA30, server deadline:851
clock 733: TA30, server deadline:851
clock 734: TA30, server deadline:851
clock 735: T3, server deadline:851
clock 736: TA30, server deadline:851
clock 737: TA30, server deadline:851
clock 738: TA30, server deadline:851
TA30 finishs: 208 ~ 739
Current total_response_time: 5599
For TA31, New deadline: 851 + 50 = 901
clock 739: T4, server deadline:901
clock 740: T2, server deadline:901
clock 741: T2, server deadline:901
clock 742: T2, server deadline:901
clock 743: T2, server deadline:901
clock 744: T2, server deadline:901
clock 745: T2, server deadline:901
clock 746: T2, server deadline:901
clock 747: T4, server deadline:901
clock 748: T4, server deadline:901
clock 749: T4, server deadline:901
clock 750: T3, server deadline:901
clock 751: T4, server deadline:901
clock 752: T4, server deadline:901
clock 753: T4, server deadline:901
clock 754: T4, server deadline:901
clock 755: T4, server deadline:901
clock 756: T4, server deadline:901
clock 757: T4, server deadline:901
clock 758: T4, server deadline:901
clock 759: T4, server deadline:901
clock 760: T4, server deadline:901
clock 761: T4, server deadline:901
clock 762: T4, server deadline:901
clock 763: T4, server deadline:901
clock 764: T4, server deadline:901
clock 765: T3, server deadline:901
clock 766: T4, server deadline:901
clock 767: T4, server deadline:901
clock 768: T6, server deadline:901
clock 769: T6, server deadline:901
clock 770: T6, server deadline:901
clock 771: T6, server deadline:901
clock 772: T7, server deadline:901
clock 773: T7, server deadline:901
clock 774: T7, server deadline:901
clock 775: T7, server deadline:901
clock 776: T4, server deadline:901
clock 777: T4, server deadline:901
clock 778: T5, server deadline:901
clock 779: T5, server deadline:901
clock 780: T3, server deadline:901
clock 781: T5, server deadline:901
clock 782: T5, server deadline:901
clock 783: T5, server deadline:901
clock 784: TA31, server deadline:901
clock 785: TA31, server deadline:901
clock 786: TA31, server deadline:901
clock 787: TA31, server deadline:901
clock 788: TA31, server deadline:901
clock 789: TA31, server deadline:901
clock 790: TA31, server deadline:901
clock 791: TA31, server deadline:901
clock 792: TA31, server deadline:901
clock 793: TA31, server deadline:901
TA31 finishs: 208 ~ 794
Current total_response_time: 6185
For TA32, New deadline: 901 + 30 = 931
clock 794: T9, server deadline:931
clock 795: T3, server deadline:931
clock 796: T9, server deadline:931
clock 797: T9, server deadline:931
clock 798: T9, server deadline:931
clock 799: T9, server deadline:931
clock 800: T9, server deadline:931
clock 801: T9, server deadline:931
clock 802: T9, server deadline:931
clock 803: T9, server deadline:931
clock 804: T9, server deadline:931
clock 805: T1, server deadline:931
clock 806: T1, server deadline:931
clock 807: T1, server deadline:931
clock 808: T1, server deadline:931
clock 809: T1, server deadline:931
clock 810: T3, server deadline:931
clock 811: T1, server deadline:931
clock 812: T1, server deadline:931
clock 813: T1, server deadline:931
clock 814: T2, server deadline:931
clock 815: T2, server deadline:931
clock 816: T6, server deadline:931
clock 817: T6, server deadline:931
clock 818: T6, server deadline:931
clock 819: T6, server deadline:931
